Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
981701790,000002B6,false,Rx,0,8,F2,00,69,01,F8,00,7C,1E,
981701558,000002B5,false,Rx,0,8,F0,00,32,00,00,00,00,C2,
981801554,000002B5,false,Rx,0,8,00,00,32,00,00,00,00,32,
981801796,000002B6,false,Rx,0,8,02,00,69,01,F8,00,7C,EE,
981901554,000002B5,false,Rx,0,8,10,00,32,00,00,00,00,22,
981901798,000002B6,false,Rx,0,8,12,00,69,01,F8,00,7C,FE,
982001569,000002B5,false,Rx,0,8,20,00,32,00,00,00,00,12,
982001811,000002B6,false,Rx,0,8,22,00,69,01,F8,00,7C,CE,
982101544,000002B5,false,Rx,0,8,30,00,32,00,00,00,00,02,
982101786,000002B6,false,Rx,0,8,32,00,69,01,F8,00,7C,DE,
982201544,000002B5,false,Rx,0,8,40,00,32,00,00,00,00,72,
982201776,000002B6,false,Rx,0,8,42,00,69,01,F8,00,7C,AE,
982301541,000002B5,false,Rx,0,8,50,00,32,00,00,00,00,62,
982301783,000002B6,false,Rx,0,8,52,00,69,01,F8,00,7C,BE,
982401544,000002B5,false,Rx,0,8,60,00,32,00,00,00,00,52,
982401777,000002B6,false,Rx,0,8,62,00,69,01,F8,00,7C,8E,
982501541,000002B5,false,Rx,0,8,70,00,32,00,00,00,00,42,
982501773,000002B6,false,Rx,0,8,72,00,69,01,F8,00,7C,9E,
982601538,000002B5,false,Rx,0,8,80,00,32,00,00,00,00,B2,
982601770,000002B6,false,Rx,0,8,82,00,69,01,F8,00,7C,6E,
982701533,000002B5,false,Rx,0,8,90,00,32,00,00,00,00,A2,
982701775,000002B6,false,Rx,0,8,92,00,69,01,F8,00,7C,7E,
982801533,000002B5,false,Rx,0,8,A0,00,32,00,00,00,00,92,
982801765,000002B6,false,Rx,0,8,A2,00,69,01,F8,00,7C,4E,
982901529,000002B5,false,Rx,0,8,B0,00,32,00,00,00,00,82,
982901772,000002B6,false,Rx,0,8,B2,00,69,01,F8,00,7C,5E,
983001541,000002B5,false,Rx,0,8,C0,00,32,00,00,00,00,F2,
983001783,000002B6,false,Rx,0,8,C2,00,69,01,F8,00,7C,2E,
983101536,000002B5,false,Rx,0,8,D0,00,32,00,00,00,00,E2,
983101778,000002B6,false,Rx,0,8,D2,00,69,01,F8,00,7C,3E,
983201539,000002B5,false,Rx,0,8,E0,00,32,00,00,00,00,D2,
983201781,000002B6,false,Rx,0,8,E2,00,69,01,F8,00,7C,0E,
983301521,000002B5,false,Rx,0,8,F0,00,32,00,00,00,00,C2,
983301764,000002B6,false,Rx,0,8,F2,00,69,01,F8,00,7C,1E,
983401525,000002B5,false,Rx,0,8,00,00,32,00,00,00,00,32,
983401758,000002B6,false,Rx,0,8,02,00,69,01,F8,00,7C,EE,
983501530,000002B5,false,Rx,0,8,10,00,32,00,00,00,00,22,
983501772,000002B6,false,Rx,0,8,12,00,69,01,F8,00,7C,FE,
983601521,000002B5,false,Rx,0,8,20,00,32,00,00,00,00,12,
983601763,000002B6,false,Rx,0,8,22,00,69,01,F8,00,7C,CE,
983701524,000002B5,false,Rx,0,8,30,00,32,00,00,00,00,02,
983701766,000002B6,false,Rx,0,8,32,00,69,01,F8,00,7C,DE,
983801514,000002B5,false,Rx,0,8,40,00,32,00,00,00,00,72,
983801747,000002B6,false,Rx,0,8,42,00,69,01,F8,00,7C,AE,
983901511,000002B5,false,Rx,0,8,50,00,32,00,00,00,00,62,
983901744,000002B6,false,Rx,0,8,52,00,69,01,F8,00,7C,BE,
984001516,000002B5,false,Rx,0,8,60,00,32,00,00,00,00,52,
984001758,000002B6,false,Rx,0,8,62,00,69,01,F8,00,7C,8E,
984101518,000002B5,false,Rx,0,8,70,00,32,00,00,00,00,42,
984101750,000002B6,false,Rx,0,8,72,00,69,01,F8,00,7C,9E,
984201511,000002B5,false,Rx,0,8,80,00,32,00,00,00,00,B2,
984201753,000002B6,false,Rx,0,8,82,00,69,01,F8,00,7C,6E,
984301516,000002B5,false,Rx,0,8,90,00,32,00,00,00,00,A2,
984301749,000002B6,false,Rx,0,8,92,00,69,01,F8,00,7C,7E,
984401511,000002B5,false,Rx,0,8,A0,00,32,00,00,00,00,92,
984401744,000002B6,false,Rx,0,8,A2,00,69,01,F8,00,7C,4E,
984501498,000002B5,false,Rx,0,8,B0,00,32,00,00,00,00,82,
984501740,000002B6,false,Rx,0,8,B2,00,69,01,F8,00,7C,5E,
984601506,000002B5,false,Rx,0,8,C0,00,32,00,00,00,00,F2,
984601748,000002B6,false,Rx,0,8,C2,00,69,01,F8,00,7C,2E,
984701490,000002B5,false,Rx,0,8,D0,00,32,00,00,00,00,E2,
984701733,000002B6,false,Rx,0,8,D2,00,69,01,F8,00,7C,3E,
984801490,000002B5,false,Rx,0,8,E0,00,32,00,00,00,00,D2,
984801734,000002B6,false,Rx,0,8,E2,00,69,01,F8,00,7C,0E,
984901505,000002B5,false,Rx,0,8,F0,00,32,00,00,00,00,C2,
984901736,000002B6,false,Rx,0,8,F2,00,69,01,F8,00,7C,1E,
985001490,000002B5,false,Rx,0,8,00,00,32,00,00,00,00,32,
985001722,000002B6,false,Rx,0,8,02,00,69,01,F8,00,7C,EE,
985101483,000002B5,false,Rx,0,8,10,00,32,00,00,00,00,22,
985101725,000002B6,false,Rx,0,8,12,00,69,01,F8,00,7C,FE,
985201486,000002B5,false,Rx,0,8,20,00,32,00,00,00,00,12,
985201728,000002B6,false,Rx,0,8,22,00,69,01,F8,00,7C,CE,
985301476,000002B5,false,Rx,0,8,30,00,32,00,00,00,00,02,
985301719,000002B6,false,Rx,0,8,32,00,69,01,F8,00,7C,DE,
985401473,000002B5,false,Rx,0,8,40,00,32,00,00,00,00,72,
985401715,000002B6,false,Rx,0,8,42,00,69,01,F8,00,7C,AE,
985501485,000002B5,false,Rx,0,8,50,00,32,00,00,00,00,62,
985501727,000002B6,false,Rx,0,8,52,00,69,01,F8,00,7C,BE,
985601489,000002B5,false,Rx,0,8,60,00,32,00,00,00,00,52,
985601721,000002B6,false,Rx,0,8,62,00,69,01,F8,00,7C,8E,
985701471,000002B5,false,Rx,0,8,70,00,32,00,00,00,00,42,
985701703,000002B6,false,Rx,0,8,72,00,69,01,F8,00,7C,9E,
985801484,000002B5,false,Rx,0,8,80,00,32,00,00,00,00,B2,
985801717,000002B6,false,Rx,0,8,82,00,69,01,F8,00,7C,6E,
985901469,000002B5,false,Rx,0,8,90,00,32,00,00,00,00,A2,
985901701,000002B6,false,Rx,0,8,92,00,69,01,F8,00,7C,7E,
986001462,000002B5,false,Rx,0,8,A0,00,32,00,00,00,00,92,
986001704,000002B6,false,Rx,0,8,A2,00,69,01,F8,00,7C,4E,
986101473,000002B5,false,Rx,0,8,B0,00,32,00,00,00,00,82,
986101715,000002B6,false,Rx,0,8,B2,00,69,01,F8,00,7C,5E,
986201456,000002B5,false,Rx,0,8,C0,00,32,00,00,00,00,F2,
986201698,000002B6,false,Rx,0,8,C2,00,6A,01,F8,00,7C,2D,
986301455,000002B5,false,Rx,0,8,D0,00,32,00,00,00,00,E2,
986301699,000002B6,false,Rx,0,8,D2,00,6B,81,F8,00,7C,BC,
986401464,000002B5,false,Rx,0,8,E0,00,32,00,00,00,00,D2,
986401706,000002B6,false,Rx,0,8,E2,00,6D,81,F8,00,7C,8A,
986501457,000002B5,false,Rx,0,8,F0,00,32,00,00,00,00,C2,
986501689,000002B6,false,Rx,0,8,F2,00,70,01,F8,00,7C,07,
986601470,000002B5,false,Rx,0,8,00,00,32,00,00,00,00,32,
986601702,000002B6,false,Rx,0,8,02,00,72,01,F8,00,7C,F5,
