Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
28529327,000002B5,false,Rx,0,8,10,00,32,00,00,00,00,22,
28529554,000002B6,false,Rx,0,8,12,00,00,01,40,00,50,03,
28629185,000002B5,false,Rx,0,8,20,00,32,00,00,00,00,12,
28629429,000002B6,false,Rx,0,8,20,00,00,01,E8,00,7A,B3,
28729199,000002B5,false,Rx,0,8,30,00,32,00,00,00,00,02,
28729432,000002B6,false,Rx,0,8,30,00,00,01,E0,00,78,A9,
31729161,000002B5,false,Rx,0,8,10,00,32,00,00,00,00,22,
31729405,000002B6,false,Rx,0,8,12,00,00,01,40,00,50,03,
31829040,000002B5,false,Rx,0,8,20,00,32,00,00,00,00,12,
31829272,000002B6,false,Rx,0,8,20,00,00,01,E8,00,7A,B3,
32147967,000002B5,false,Rx,0,8,10,00,32,00,00,00,00,22,
32148209,000002B6,false,Rx,0,8,12,00,00,01,40,00,50,03,
32247845,000002B5,false,Rx,0,8,20,00,32,00,00,00,00,12,
32248088,000002B6,false,Rx,0,8,20,00,00,01,E8,00,7A,B3,
32347856,000002B5,false,Rx,0,8,30,00,32,00,00,00,00,02,
32348089,000002B6,false,Rx,0,8,30,00,00,01,E0,00,78,A9,
32447837,000002B5,false,Rx,0,8,40,00,32,00,00,00,00,72,
32448070,000002B6,false,Rx,0,8,40,00,00,01,E0,00,78,D9,
32547836,000002B5,false,Rx,0,8,50,00,32,00,00,00,00,62,
32548068,000002B6,false,Rx,0,8,50,00,00,01,E0,00,78,C9,
32647835,000002B5,false,Rx,0,8,60,00,32,00,00,00,00,52,
32648067,000002B6,false,Rx,0,8,60,00,00,01,E0,00,78,F9,
32747830,000002B5,false,Rx,0,8,70,00,32,00,00,00,00,42,
32748062,000002B6,false,Rx,0,8,70,00,00,01,E0,00,78,E9,
32847824,000002B5,false,Rx,0,8,80,00,32,00,00,00,00,B2,
32848077,000002B6,false,Rx,0,8,80,00,00,01,E0,00,78,19,
32947828,000002B5,false,Rx,0,8,90,00,32,00,00,00,00,A2,
32948060,000002B6,false,Rx,0,8,90,00,00,01,E0,00,78,09,
33047827,000002B5,false,Rx,0,8,A0,00,32,00,00,00,00,92,
33048059,000002B6,false,Rx,0,8,A0,00,00,01,E0,00,78,39,
33147834,000002B5,false,Rx,0,8,B0,00,32,00,00,00,00,82,
33148076,000002B6,false,Rx,0,8,B0,00,00,01,E0,00,78,29,
33247820,000002B5,false,Rx,0,8,C0,00,32,00,00,00,00,F2,
33248052,000002B6,false,Rx,0,8,C2,00,00,01,E0,00,78,5B,
33347819,000002B5,false,Rx,0,8,D0,00,32,00,00,00,00,E2,
33348053,000002B6,false,Rx,0,8,D2,00,00,01,E0,00,78,4B,
33447824,000002B5,false,Rx,0,8,E0,00,32,00,00,00,00,D2,
33448066,000002B6,false,Rx,0,8,E2,00,00,01,E0,00,78,7B,
33547814,000002B5,false,Rx,0,8,F0,00,32,00,00,00,00,C2,
33548045,000002B6,false,Rx,0,8,F2,00,00,01,E0,00,78,6B,
33647830,000002B5,false,Rx,0,8,00,00,32,00,00,00,00,32,
33648062,000002B6,false,Rx,0,8,02,00,00,01,E0,00,78,9B,
33747822,000002B5,false,Rx,0,8,10,00,32,00,00,00,00,22,
