Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000000,false,Rx,0,0,00,00,00,00,00,00,00,00,
0,00000000,false,Rx,0,0,00,00,00,00,00,00,00,00,
0,00000000,false,Rx,0,0,00,00,00,00,00,00,00,00,
0,00000000,false,Rx,0,0,00,00,00,00,00,00,00,00,
0,00000000,false,Rx,0,0,00,00,00,00,00,00,00,00,
0,00000000,false,Rx,0,0,00,00,00,00,00,00,00,00,
519221,000002B6,false,Rx,0,8,C2,00,7D,02,00,00,7E,C3,
778204,000002B5,false,Rx,0,8,D0,00,32,00,00,00,00,E2,
1098632,000002B5,false,Rx,0,8,D0,00,32,00,00,00,00,E2,
1098871,000002B6,false,Rx,0,8,D2,00,7D,02,00,00,7E,D3,
1198637,000002B5,false,Rx,0,8,E0,00,32,00,00,00,00,D2,
1198866,000002B6,false,Rx,0,8,E2,00,7D,02,00,00,7E,E3,
1298617,000002B5,false,Rx,0,8,F0,00,32,00,00,00,00,C2,
1298856,000002B6,false,Rx,0,8,F2,00,7D,02,00,00,7E,F3,
1398621,000002B5,false,Rx,0,8,00,00,32,00,00,00,00,32,
1398860,000002B6,false,Rx,0,8,02,00,7D,02,00,00,7E,03,
1498631,000002B5,false,Rx,0,8,10,00,32,00,00,00,00,22,
1498869,000002B6,false,Rx,0,8,12,00,7D,02,00,00,7E,13,
1598619,000002B5,false,Rx,0,8,20,00,32,00,00,00,00,12,
1598859,000002B6,false,Rx,0,8,22,00,7D,02,00,00,7E,23,
1698621,000002B5,false,Rx,0,8,30,00,32,00,00,00,00,02,
1698861,000002B6,false,Rx,0,8,32,00,7D,02,00,00,7E,33,
1798602,000002B5,false,Rx,0,8,40,00,32,00,00,00,00,72,
1798841,000002B6,false,Rx,0,8,42,00,7D,02,00,00,7E,43,
1898605,000002B5,false,Rx,0,8,50,00,32,00,00,00,00,62,
1898844,000002B6,false,Rx,0,8,52,00,7D,02,00,00,7E,53,
1998614,000002B5,false,Rx,0,8,60,00,32,00,00,00,00,52,
1998852,000002B6,false,Rx,0,8,62,00,7D,02,00,00,7E,63,
2019196,000002B6,false,Rx,0,8,B2,00,7D,02,00,00,7E,B3,
2019196,000002B6,false,Rx,0,8,B2,00,7D,02,00,00,7E,B3,
2098613,000002B5,false,Rx,0,8,70,00,32,00,00,00,00,42,
2098852,000002B6,false,Rx,0,8,72,00,7D,02,00,00,7E,73,
