Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
519221,000002B6,false,Rx,0,8,C2,00,7D,02,00,00,7E,C3,
778204,000002B5,false,Rx,0,8,D0,00,32,00,00,00,00,E2,
1098632,000002B5,false,Rx,0,8,D0,00,32,00,00,00,00,E2,
1098871,000002B6,false,Rx,0,8,D2,00,7D,02,00,00,7E,D3,
1198637,000002B5,false,Rx,0,8,E0,00,32,00,00,00,00,D2,
1198866,000002B6,false,Rx,0,8,E2,00,7D,02,00,00,7E,E3,
1298617,000002B5,false,Rx,0,8,F0,00,32,00,00,00,00,C2,
1298856,000002B6,false,Rx,0,8,F2,00,7D,02,00,00,7E,F3,
1398621,000002B5,false,Rx,0,8,00,00,32,00,00,00,00,32,
1398860,000002B6,false,Rx,0,8,02,00,7D,02,00,00,7E,03,
1498631,000002B5,false,Rx,0,8,10,00,32,00,00,00,00,22,
1498869,000002B6,false,Rx,0,8,12,00,7D,02,00,00,7E,13,
1598619,000002B5,false,Rx,0,8,20,00,32,00,00,00,00,12,
1598859,000002B6,false,Rx,0,8,22,00,7D,02,00,00,7E,23,
1698621,000002B5,false,Rx,0,8,30,00,32,00,00,00,00,02,
1698861,000002B6,false,Rx,0,8,32,00,7D,02,00,00,7E,33,
1798602,000002B5,false,Rx,0,8,40,00,32,00,00,00,00,72,
1798841,000002B6,false,Rx,0,8,42,00,7D,02,00,00,7E,43,
1898605,000002B5,false,Rx,0,8,50,00,32,00,00,00,00,62,
1898844,000002B6,false,Rx,0,8,52,00,7D,02,00,00,7E,53,
1998614,000002B5,false,Rx,0,8,60,00,32,00,00,00,00,52,
1998852,000002B6,false,Rx,0,8,62,00,7D,02,00,00,7E,63,
2019196,000002B6,false,Rx,0,8,B2,00,7D,02,00,00,7E,B3,
2019196,000002B6,false,Rx,0,8,B2,00,7D,02,00,00,7E,B3,
2098613,000002B5,false,Rx,0,8,70,00,32,00,00,00,00,42,
2098852,000002B6,false,Rx,0,8,72,00,7D,02,00,00,7E,73,
2198614,000002B5,false,Rx,0,8,80,00,32,00,00,00,00,B2,
2198854,000002B6,false,Rx,0,8,82,00,7D,02,00,00,7E,83,
2298595,000002B5,false,Rx,0,8,90,00,32,00,00,00,00,A2,
2298834,000002B6,false,Rx,0,8,92,00,7D,02,00,00,7E,93,
2398599,000002B5,false,Rx,0,8,A0,00,32,00,00,00,00,92,
2498607,000002B5,false,Rx,0,8,B0,00,32,00,00,00,00,82,
2498846,000002B6,false,Rx,0,8,B2,00,7D,02,00,00,7E,B3,
2598599,000002B5,false,Rx,0,8,C0,00,32,00,00,00,00,F2,
2619174,000002B6,false,Rx,0,8,12,00,7D,02,00,00,7E,13,
2619174,000002B6,false,Rx,0,8,12,00,7D,02,00,00,7E,13,
2698585,000002B5,false,Rx,0,8,D0,00,32,00,00,00,00,E2,
2698825,000002B6,false,Rx,0,8,D2,00,7D,02,00,00,7E,D3,
2798587,000002B5,false,Rx,0,8,E0,00,32,00,00,00,00,D2,
2798826,000002B6,false,Rx,0,8,E2,00,7D,02,00,00,7E,E3,
2857544,0000022A,false,Tx,0,8,E3,E1,54,6E,79,1C,07,68,
2877823,0000022C,false,Tx,0,8,55,BC,80,6C,2E,90,2B,51,
2898586,000002B5,false,Rx,0,8,F0,00,32,00,00,00,00,C2,
2898824,000002B6,false,Rx,0,8,F2,00,7D,02,00,00,7E,F3,
2998845,000002B6,false,Rx,0,8,02,00,7D,02,00,00,7E,03,
3098577,000002B5,false,Rx,0,8,10,00,32,00,00,00,00,22,
3098817,000002B6,false,Rx,0,8,12,00,7D,02,00,00,7E,13,
3186797,000002B6,false,Rx,0,8,12,00,00,01,40,00,50,03,
3198589,000002B5,false,Rx,0,8,20,00,32,00,00,00,00,12,
3198829,000002B6,false,Rx,0,8,22,00,7D,02,00,00,7E,23,
3298583,000002B5,false,Rx,0,8,30,00,32,00,00,00,00,02,
3298832,000002B6,false,Rx,0,8,32,00,7D,02,00,00,7E,33,
3398580,000002B5,false,Rx,0,8,40,00,32,00,00,00,00,72,
3498582,000002B5,false,Rx,0,8,50,00,32,00,00,00,00,62,
3498821,000002B6,false,Rx,0,8,52,00,7D,02,00,00,7E,53,
3598581,000002B5,false,Rx,0,8,60,00,32,00,00,00,00,52,
3598821,000002B6,false,Rx,0,8,62,00,7D,02,00,00,7E,63,
3698583,000002B5,false,Rx,0,8,70,00,32,00,00,00,00,42,
3698822,000002B6,false,Rx,0,8,72,00,7D,02,00,00,7E,73,
3786651,000002B6,false,Rx,0,8,70,00,7D,02,00,00,7E,71,
3798572,000002B5,false,Rx,0,8,80,00,32,00,00,00,00,B2,
3798820,000002B6,false,Rx,0,8,82,00,7D,02,00,00,7E,83,
3898562,000002B5,false,Rx,0,8,90,00,32,00,00,00,00,A2,
3898801,000002B6,false,Rx,0,8,92,00,7D,02,00,00,7E,93,
3998577,000002B5,false,Rx,0,8,A0,00,32,00,00,00,00,92,
3998816,000002B6,false,Rx,0,8,A2,00,7D,02,00,00,7E,A3,
4098577,000002B5,false,Rx,0,8,B0,00,32,00,00,00,00,82,
4198557,000002B5,false,Rx,0,8,C0,00,32,00,00,00,00,F2,
4198796,000002B6,false,Rx,0,8,C2,00,7D,02,00,00,7E,C3,
4298549,000002B5,false,Rx,0,8,D0,00,32,00,00,00,00,E2,
4298788,000002B6,false,Rx,0,8,D2,00,7D,02,00,00,7E,D3,
4398556,000002B5,false,Rx,0,8,E0,00,32,00,00,00,00,D2,
4398794,000002B6,false,Rx,0,8,E2,00,7D,02,00,00,7E,E3,
4498545,000002B5,false,Rx,0,8,F0,00,32,00,00,00,00,C2,
4498784,000002B6,false,Rx,0,8,F2,00,7D,02,00,00,7E,F3,
4598557,000002B5,false,Rx,0,8,00,00,32,00,00,00,00,32,
4698542,000002B5,false,Rx,0,8,10,00,32,00,00,00,00,22,
4698781,000002B6,false,Rx,0,8,12,00,7D,02,00,00,7E,13,
4786644,000002B6,false,Rx,0,8,12,00,7D,02,00,00,7E,13,
4798552,000002B5,false,Rx,0,8,20,00,32,00,00,00,00,12,
4798791,000002B6,false,Rx,0,8,22,00,7D,02,00,00,7E,23,
4898552,000002B5,false,Rx,0,8,30,00,32,00,00,00,00,02,
4998547,000002B5,false,Rx,0,8,40,00,32,00,00,00,00,72,
4998787,000002B6,false,Rx,0,8,42,00,7D,02,00,00,7E,43,
5098544,000002B5,false,Rx,0,8,50,00,32,00,00,00,00,62,
5198528,000002B5,false,Rx,0,8,60,00,32,00,00,00,00,52,
5198767,000002B6,false,Rx,0,8,62,00,7D,02,00,00,7E,63,
5198767,000002B6,false,Rx,0,8,62,00,7D,02,00,00,7E,63,
5298532,000002B5,false,Rx,0,8,70,00,32,00,00,00,00,42,
5386626,000002B6,false,Rx,0,8,72,00,7D,02,00,00,7E,73,
5398532,000002B5,false,Rx,0,8,80,00,32,00,00,00,00,B2,
5498527,000002B5,false,Rx,0,8,90,00,32,00,00,00,00,A2,
5498767,000002B6,false,Rx,0,8,92,00,7D,02,00,00,7E,93,
5557051,00000295,false,Tx,0,8,F7,F2,D1,76,D9,A7,E7,96,
5577115,00000297,false,Tx,0,8,30,01,2C,D0,B2,D2,B6,9F,
5597110,00000299,false,Tx,0,8,3B,C5,6E,75,A5,13,D4,A0,
5598534,000002B5,false,Rx,0,8,A0,00,32,00,00,00,00,92,
5617100,0000029B,false,Tx,0,8,08,60,D5,03,12,1B,66,8E,
