Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1445285,000001DA,false,Rx,1,8,BA,32,58,00,00,01,02,45,
1445455,00000120,false,Rx,1,4,00,00,0A,3C,00,00,00,00,
1450735,000001DB,false,Rx,1,8,FF,A0,BB,8A,29,00,00,88,
1450962,000001DC,false,Rx,1,8,6E,04,A4,A1,EC,DC,C8,10,
1452317,0000011A,false,Rx,1,8,4E,40,00,55,00,00,01,7D,
1452548,000001D4,false,Rx,1,8,F7,07,00,00,47,44,30,B7,
1452792,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,01,8F,
1453013,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1455288,000001DA,false,Rx,1,8,BA,72,58,00,00,01,03,62,
1455458,00000120,false,Rx,1,4,00,00,0B,B9,00,00,00,00,
1460738,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,01,1B,
1460965,000001DC,false,Rx,1,8,6E,04,A4,A1,E1,0C,E1,55,
1462320,0000011A,false,Rx,1,8,4E,40,00,55,40,00,02,B0,
1462551,000001D4,false,Rx,1,8,F7,07,00,00,87,44,30,7B,
1462795,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,02,8F,
1463016,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1465292,000001DA,false,Rx,1,8,BA,72,58,00,00,01,00,68,
1465461,00000120,false,Rx,1,4,00,00,0C,28,00,00,00,00,
1470730,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,02,11,
1470957,000001DC,false,Rx,1,8,6E,04,A4,A1,E5,04,C6,42,
1472312,0000011A,false,Rx,1,8,4E,40,00,AA,80,00,03,A6,
1472543,000001D4,false,Rx,1,8,F7,07,00,00,C7,44,30,BC,
1472787,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,03,8F,
1473008,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1475284,000001DA,false,Rx,1,8,BA,32,58,00,00,01,01,4F,
1475454,00000120,false,Rx,1,4,00,00,0D,AD,00,00,00,00,
1481069,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,03,94,
1481299,000001DC,false,Rx,1,8,6E,04,A4,A1,E8,C0,C3,F9,
1481530,0000055B,false,Rx,1,8,73,40,AA,00,DE,80,13,53,
1481762,000005BC,false,Rx,1,8,14,C0,64,50,90,00,A0,B4,
1482307,0000011A,false,Rx,1,8,4E,40,00,AA,C0,00,00,6B,
1482549,000001D4,false,Rx,1,8,F7,07,00,00,07,44,30,70,
1482792,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,00,8F,
1483013,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1485291,000001DA,false,Rx,1,8,BA,32,58,00,00,01,02,45,
1485457,00000120,false,Rx,1,4,00,00,0E,A7,00,00,00,00,
1490727,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,00,9E,
1490955,000001DC,false,Rx,1,8,6E,04,A4,A1,EC,DC,C8,10,
1492320,0000011A,false,Rx,1,8,4E,40,00,55,00,00,01,7D,
1492551,000001D4,false,Rx,1,8,F7,07,00,00,47,44,30,B7,
1492784,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,01,8F,
1493016,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1494484,000002B5,false,Rx,1,8,80,00,32,00,00,00,00,B2,
1494716,000002B6,false,Rx,1,8,82,00,89,02,18,00,8A,9B,
1495283,000001DA,false,Rx,1,8,BA,72,58,00,00,01,03,62,
1495453,00000120,false,Rx,1,4,00,00,0F,22,00,00,00,00,
1495683,0000055A,false,Rx,1,8,1F,34,36,34,55,00,5B,48,
1500727,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,01,1B,
1500955,000001DC,false,Rx,1,8,6E,04,A4,A1,E1,0C,E1,55,
1502319,0000011A,false,Rx,1,8,4E,40,00,55,40,00,02,B0,
1502551,000001D4,false,Rx,1,8,F7,07,00,00,87,44,30,7B,
1502795,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,02,8F,
1503016,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1505281,000001DA,false,Rx,1,8,BA,72,58,00,00,01,00,68,
1505461,00000120,false,Rx,1,4,00,00,00,00,00,00,00,00,
1506853,0000055B,false,Rx,1,8,A4,40,AA,00,DF,C0,12,1A,
1507095,0000059E,false,Rx,1,8,00,00,0C,76,18,00,00,00,
1507339,000005BC,false,Rx,1,8,3D,80,F0,64,B0,01,00,32,
1510715,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,02,11,
1510953,000001DC,false,Rx,1,8,6E,04,A4,A1,E5,04,C6,42,
1512308,0000011A,false,Rx,1,8,4E,40,00,AA,80,00,03,A6,
1512539,000001D4,false,Rx,1,8,F7,07,00,00,C7,44,30,BC,
1512772,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,03,8F,
1513006,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1515280,000001DA,false,Rx,1,8,BA,32,58,00,00,01,01,4F,
1515460,00000120,false,Rx,1,4,00,00,01,85,00,00,00,00,
1520717,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,03,94,
1520955,000001DC,false,Rx,1,8,6E,04,A4,A1,E8,C0,C3,F9,
1521967,00000390,false,Rx,1,8,24,00,01,02,00,00,00,05,
1522313,0000011A,false,Rx,1,8,4E,40,00,AA,C0,00,00,6B,
1522545,000001D4,false,Rx,1,8,F7,07,00,00,07,44,30,70,
1522791,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,00,8F,
1523012,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1525288,000001DA,false,Rx,1,8,BA,32,58,00,00,01,02,45,
1525457,00000120,false,Rx,1,4,00,00,02,8F,00,00,00,00,
1526962,00000393,false,Rx,1,8,26,51,00,00,00,00,00,0D,
1530719,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,00,9E,
1530947,000001DC,false,Rx,1,8,6E,04,A4,A1,EC,DC,C8,10,
1532311,0000011A,false,Rx,1,8,4E,40,00,55,00,00,01,7D,
1532543,000001D4,false,Rx,1,8,F7,07,00,00,47,44,30,B7,
1532786,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,01,8F,
1533010,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1535285,000001DA,false,Rx,1,8,BA,72,58,00,00,01,03,62,
1535454,00000120,false,Rx,1,4,00,00,03,0A,00,00,00,00,
1540723,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,01,1B,
1540950,000001DC,false,Rx,1,8,6E,04,A4,A1,E1,0C,E1,55,
1542316,0000011A,false,Rx,1,8,4E,40,00,55,40,00,02,B0,
1542558,000001D4,false,Rx,1,8,F7,07,00,00,87,44,30,7B,
1542791,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,02,8F,
1543022,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1545288,000001DA,false,Rx,1,8,BA,72,58,00,00,01,00,68,
1545457,00000120,false,Rx,1,4,00,00,04,9B,00,00,00,00,
1550717,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,02,11,
1550945,000001DC,false,Rx,1,8,6E,04,A4,A1,E5,04,C6,42,
1552309,0000011A,false,Rx,1,8,4E,40,00,AA,80,00,03,A6,
1552541,000001D4,false,Rx,1,8,F7,07,00,00,C7,44,30,BC,
1552774,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,03,8F,
1553006,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1555281,000001DA,false,Rx,1,8,BA,32,58,00,00,01,01,4F,
1555451,00000120,false,Rx,1,4,00,00,05,1E,00,00,00,00,
1560720,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,03,94,
1560947,000001DC,false,Rx,1,8,6E,04,A4,A1,E8,C0,C3,F9,
1562312,0000011A,false,Rx,1,8,4E,40,00,AA,C0,00,00,6B,
1562543,000001D4,false,Rx,1,8,F7,07,00,00,07,44,30,70,
1562787,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,00,8F,
1563008,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1565295,000001DA,false,Rx,1,8,BA,32,58,00,00,01,02,45,
1565465,00000120,false,Rx,1,4,00,00,06,14,00,00,00,00,
1570712,000001DB,false,Rx,1,8,FF,A0,BB,8B,29,00,00,9E,
1570940,000001DC,false,Rx,1,8,6E,04,A4,A1,EC,DC,C8,10,
1572316,0000011A,false,Rx,1,8,4E,40,00,55,00,00,01,7D,
1572547,000001D4,false,Rx,1,8,F7,07,00,00,47,44,30,B7,
1572781,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,01,8F,
1573012,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
1575288,000001DA,false,Rx,1,8,BA,72,58,00,00,01,03,62,
