Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
656996899,000002B6,false,Rx,1,8,51,64,88,81,F0,00,74,B8,
657000635,0000011A,false,Rx,1,8,4E,40,00,AA,80,00,03,A6,
657000874,000001D4,false,Rx,1,8,F7,07,00,00,C7,44,30,BC,
657001106,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,03,8F,
657001328,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657004654,000001DB,false,Rx,1,8,FF,00,BB,0B,26,00,01,15,
657004882,000001DC,false,Rx,1,8,6E,04,C4,B5,E1,0C,E1,81,
657005416,000001DA,false,Rx,1,8,BA,32,58,00,00,01,02,45,
657005586,00000120,false,Rx,1,4,00,00,02,8F,00,00,00,00,
657010636,0000011A,false,Rx,1,8,4E,40,00,AA,C0,00,00,6B,
657010875,000001D4,false,Rx,1,8,F7,07,00,00,07,44,30,70,
657011117,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,00,8F,
657011340,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657014655,000001DB,false,Rx,1,8,FE,E0,BB,0B,26,00,02,2A,
657014882,000001DC,false,Rx,1,8,6E,04,C4,B5,E5,04,C6,96,
657015417,000001DA,false,Rx,1,8,BA,72,58,00,00,01,03,62,
657015586,00000120,false,Rx,1,4,00,00,03,0A,00,00,00,00,
657020650,0000011A,false,Rx,1,8,4E,40,00,55,00,00,01,7D,
657020878,000001D4,false,Rx,1,8,F7,07,00,00,47,44,30,B7,
657021110,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,01,8F,
657021342,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657024648,000001DB,false,Rx,1,8,FF,00,BB,0B,26,00,03,9A,
657024886,000001DC,false,Rx,1,8,6E,04,C4,B5,E8,C0,C3,2D,
657025420,000001DA,false,Rx,1,8,BA,72,58,00,00,01,00,68,
657025590,00000120,false,Rx,1,4,00,00,04,9B,00,00,00,00,
657030643,0000011A,false,Rx,1,8,4E,40,00,55,40,00,02,B0,
657030881,000001D4,false,Rx,1,8,F7,07,00,00,87,44,30,7B,
657031123,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,02,8F,
657031347,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657034651,000001DB,false,Rx,1,8,FF,20,BB,0B,26,00,00,C1,
657034879,000001DC,false,Rx,1,8,6E,04,C4,B5,EC,DC,C8,C4,
657035413,000001DA,false,Rx,1,8,BA,32,58,00,00,01,01,4F,
657035583,00000120,false,Rx,1,4,00,00,05,1E,00,00,00,00,
657040636,0000011A,false,Rx,1,8,4E,40,00,AA,80,00,03,A6,
657040864,000001D4,false,Rx,1,8,F7,07,00,00,C7,44,30,BC,
657041106,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,03,8F,
657041329,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657044990,000001DB,false,Rx,1,8,FF,20,BB,0B,26,00,01,44,
657045220,000001DC,false,Rx,1,8,6E,04,C4,B5,E1,0C,E1,81,
657045389,00000120,false,Rx,1,4,00,00,06,14,00,00,00,00,
657045620,000001DA,false,Rx,1,8,BA,32,58,00,00,01,02,45,
657045852,0000055B,false,Rx,1,8,6E,80,AA,00,D2,80,10,C6,
657046084,000005BC,false,Rx,1,8,13,80,64,50,90,02,40,5A,
657050450,00000390,false,Rx,1,8,24,00,01,02,00,00,00,38,
657050679,0000011A,false,Rx,1,8,4E,40,00,AA,C0,00,00,6B,
