Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4297916356,0000011A,false,Rx,1,8,4E,40,00,AA,80,00,03,A6,
4297916586,000001D4,false,Rx,1,8,F7,07,00,00,C7,44,30,BC,
4297916817,000001DB,false,Rx,1,8,FF,A0,B8,CB,24,00,00,C8,
4297917039,000001DC,false,Rx,1,8,6E,04,F5,35,EC,DC,C8,7C,
4297917281,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,03,8F,
4297917503,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4297918850,000001DA,false,Rx,1,8,B9,32,58,00,00,01,01,46,
4297919010,00000120,false,Rx,1,4,00,00,0D,AD,00,00,00,00,
4297919241,0000055A,false,Rx,1,8,1A,37,37,35,55,00,5B,48,
4297920905,0000055B,false,Rx,1,8,A4,40,AA,00,DF,C0,13,9F,
4297921137,0000059E,false,Rx,1,8,00,00,0C,76,18,00,00,00,
4297921381,000005BC,false,Rx,1,8,3D,80,F0,64,B0,01,00,32,
4297926351,0000011A,false,Rx,1,8,4E,40,00,AA,C0,00,00,6B,
4297926592,000001D4,false,Rx,1,8,F7,07,00,00,07,44,30,70,
4297926824,000001DB,false,Rx,1,8,FF,A0,B8,CB,24,00,01,4D,
4297927045,000001DC,false,Rx,1,8,6E,04,F5,35,E1,0C,E1,39,
4297927287,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,00,8F,
4297927511,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4297928836,000001DA,false,Rx,1,8,B9,32,58,00,00,01,02,4C,
4297929007,00000120,false,Rx,1,4,00,00,0E,A7,00,00,00,00,
4297930141,00000390,false,Rx,1,8,24,00,01,02,00,00,00,27,
4297935146,00000393,false,Rx,1,8,00,51,00,00,00,00,00,27,
4297936359,0000011A,false,Rx,1,8,4E,40,00,55,00,00,01,7D,
4297936593,000001D4,false,Rx,1,8,F7,07,00,00,47,44,30,B7,
4297936825,000001DB,false,Rx,1,8,FF,A0,B8,CB,24,00,02,47,
4297937057,000001DC,false,Rx,1,8,6E,04,F5,35,E5,04,C6,2E,
4297937291,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,01,8F,
4297937514,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4297938835,000001DA,false,Rx,1,8,B9,72,58,00,00,01,03,6B,
4297939006,00000120,false,Rx,1,4,00,00,0F,22,00,00,00,00,
4297943632,000002B5,false,Rx,1,8,00,00,32,00,00,00,00,32,
4297943860,000002B6,false,Rx,1,8,00,00,87,82,88,00,B4,39,
4297946360,0000011A,false,Rx,1,8,4E,40,00,55,40,00,02,B0,
4297946594,000001D4,false,Rx,1,8,F7,07,00,00,87,44,30,7B,
4297946826,000001DB,false,Rx,1,8,FF,A0,B8,CB,24,00,03,C2,
4297947058,000001DC,false,Rx,1,8,6E,04,F5,39,E8,C0,C3,7D,
4297947301,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,02,8F,
4297947524,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4297948830,000001DA,false,Rx,1,8,B9,72,58,00,00,01,00,61,
4297949012,00000120,false,Rx,1,4,00,00,00,00,00,00,00,00,
4297956353,0000011A,false,Rx,1,8,4E,40,00,AA,80,00,03,A6,
4297956583,000001D4,false,Rx,1,8,F7,07,00,00,C7,44,30,BC,
4297956815,000001DB,false,Rx,1,8,FF,A0,B8,CB,24,00,00,C8,
4297957046,000001DC,false,Rx,1,8,6E,04,F5,39,EC,DC,C8,94,
4297957278,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,03,8F,
4297957500,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4297958838,000001DA,false,Rx,1,8,B9,32,58,00,00,01,01,46,
4297959008,00000120,false,Rx,1,4,00,00,01,85,00,00,00,00,
4297966350,0000011A,false,Rx,1,8,4E,40,00,AA,C0,00,00,6B,
3948,000002A0,false,Tx,1,8,01,0F,01,00,00,60,00,00,
4297966591,000001D4,false,Rx,1,8,F7,07,00,00,07,44,30,70,
4297966822,000001DB,false,Rx,1,8,FF,A0,B8,CB,24,00,01,4D,
4297967044,000001DC,false,Rx,1,8,6E,04,F5,39,E1,0C,E1,D1,
4297967287,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,00,8F,
4297967545,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4297968833,000001DA,false,Rx,1,8,B9,32,58,00,00,01,02,4C,
4297969003,00000120,false,Rx,1,4,00,00,02,8F,00,00,00,00,
4297976354,0000011A,false,Rx,1,8,4E,40,00,55,00,00,01,7D,
4297976584,000001D4,false,Rx,1,8,F7,07,00,00,47,44,30,B7,
4297976816,000001DB,false,Rx,1,8,FF,A0,B8,CB,24,00,02,47,
4297977048,000001DC,false,Rx,1,8,6E,04,F5,39,E5,04,C6,C6,
4297977291,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,01,8F,
4297977513,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4297978841,000001DA,false,Rx,1,8,B9,72,58,00,00,01,03,6B,
4297979010,00000120,false,Rx,1,4,00,00,03,0A,00,00,00,00,
4297986351,0000011A,false,Rx,1,8,4E,40,00,55,40,00,02,B0,
4297986591,000001D4,false,Rx,1,8,F7,07,00,00,87,44,30,7B,
4297986823,000001DB,false,Rx,1,8,FF,80,B8,CB,24,00,03,93,
4297987055,000001DC,false,Rx,1,8,6E,04,F5,39,E8,C0,C3,7D,
4297987298,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,02,8F,
4297987520,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4297988847,000001DA,false,Rx,1,8,B8,72,58,00,00,01,00,66,
4297989016,00000120,false,Rx,1,4,00,00,04,9B,00,00,00,00,
4297996347,0000011A,false,Rx,1,8,4E,40,00,AA,80,00,03,A6,
4297996587,000001D4,false,Rx,1,8,F7,07,00,00,C7,44,30,BC,
4297996819,000001DB,false,Rx,1,8,FF,60,B8,CB,24,00,00,AB,
4297997051,000001DC,false,Rx,1,8,6E,04,F5,39,EC,DC,C8,94,
