Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4489041266,000001DB,false,Rx,1,8,FE,60,BA,0B,26,00,00,93,
4489041494,000001DC,false,Rx,1,8,6E,04,D4,ED,EC,DC,C8,5D,
4489042266,000001DA,false,Rx,1,8,B9,72,58,00,00,01,00,61,
4489042436,00000120,false,Rx,1,4,00,00,08,B3,00,00,00,00,
4489042824,0000011A,false,Rx,1,8,4E,40,00,55,40,00,02,B0,
4489043066,000001D4,false,Rx,1,8,F7,07,00,00,87,44,30,7B,
4489043298,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,02,8F,
4489043528,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4489051261,000001DB,false,Rx,1,8,FE,60,BA,0B,26,00,01,16,
4489051489,000001DC,false,Rx,1,8,6E,04,D4,ED,E1,0C,E1,18,
4489052261,000001DA,false,Rx,1,8,B9,32,58,00,00,01,01,46,
4489052430,00000120,false,Rx,1,4,00,00,09,36,00,00,00,00,
4489052664,0000055A,false,Rx,1,8,14,36,37,35,55,00,5B,48,
4489052895,0000011A,false,Rx,1,8,4E,40,00,AA,80,00,03,A6,
4489053127,000001D4,false,Rx,1,8,F7,07,00,00,C7,44,30,BC,
4489053366,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,03,8F,
4489053589,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4489057368,0000055B,false,Rx,1,8,A4,40,AA,00,DF,C0,11,10,
4489057607,0000059E,false,Rx,1,8,00,00,0C,76,18,00,00,00,
4489057849,000005BC,false,Rx,1,8,3D,80,F0,64,B0,01,00,32,
4489061256,000001DB,false,Rx,1,8,FE,60,BA,0B,26,00,02,1C,
4489061494,000001DC,false,Rx,1,8,6E,04,D4,ED,E5,04,C6,0F,
4489062246,000001DA,false,Rx,1,8,B9,32,58,00,00,01,02,4C,
4489062415,00000120,false,Rx,1,4,00,00,0A,3C,00,00,00,00,
4489062814,0000011A,false,Rx,1,8,4E,40,00,AA,C0,00,00,6B,
4489063056,000001D4,false,Rx,1,8,F7,07,00,00,07,44,30,70,
4489063298,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,00,8F,
4489063528,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4489071598,000001DB,false,Rx,1,8,FE,60,BA,0B,26,00,03,99,
4489071827,000001DC,false,Rx,1,8,6E,04,D4,ED,E8,C0,C3,B4,
4489072058,0000055B,false,Rx,1,8,6C,C0,AA,00,D4,C0,11,E7,
4489072228,00000120,false,Rx,1,4,00,00,0B,B9,00,00,00,00,
4489072469,000001DA,false,Rx,1,8,B9,72,58,00,00,01,03,6B,
4489072703,000005BC,false,Rx,1,8,13,40,64,50,90,03,01,C2,
4489072945,0000011A,false,Rx,1,8,4E,40,00,55,00,00,01,7D,
4489073177,000001D4,false,Rx,1,8,F7,07,00,00,47,44,30,B7,
4489073420,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,01,8F,
4489073663,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4489075409,000002B5,false,Rx,1,8,E0,00,3E,00,06,F4,00,2C,
4489075644,000002B6,false,Rx,1,8,E1,64,87,81,F8,00,82,F9,
4489081260,000001DB,false,Rx,1,8,FE,60,BA,0B,26,00,00,93,
3966,000002A0,false,Tx,1,8,00,04,01,00,00,60,00,00,
4489081488,000001DC,false,Rx,1,8,6E,04,D4,ED,EC,DC,C8,5D,
4489082250,000001DA,false,Rx,1,8,B9,72,58,00,00,01,00,61,
4489082419,00000120,false,Rx,1,4,00,00,0C,28,00,00,00,00,
4489082674,00000390,false,Rx,1,8,24,00,01,02,00,00,00,38,
4489082916,0000011A,false,Rx,1,8,4E,40,00,55,40,00,02,B0,
4489083158,000001D4,false,Rx,1,8,F7,07,00,00,87,44,30,7B,
4489083397,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,02,8F,
4489083620,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4489087673,00000393,false,Rx,1,8,26,51,00,00,00,00,00,30,
4489091254,000001DB,false,Rx,1,8,FE,60,BA,0B,26,00,01,16,
4489091482,000001DC,false,Rx,1,8,6E,04,D4,ED,E1,0C,E1,18,
4489092255,000001DA,false,Rx,1,8,B9,32,58,00,00,01,01,46,
4489092424,00000120,false,Rx,1,4,00,00,0D,AD,00,00,00,00,
4489092823,0000011A,false,Rx,1,8,4E,40,00,AA,80,00,03,A6,
4489093054,000001D4,false,Rx,1,8,F7,07,00,00,C7,44,30,BC,
4489093287,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,03,8F,
4489093516,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4489101260,000001DB,false,Rx,1,8,FE,60,BA,0B,26,00,02,1C,
4489101487,000001DC,false,Rx,1,8,6E,04,D4,ED,E5,04,C6,0F,
4489102249,000001DA,false,Rx,1,8,B9,32,58,00,00,01,02,4C,
4489102419,00000120,false,Rx,1,4,00,00,0E,A7,00,00,00,00,
4489102819,0000011A,false,Rx,1,8,4E,40,00,AA,C0,00,00,6B,
4489103050,000001D4,false,Rx,1,8,F7,07,00,00,07,44,30,70,
4489103294,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,00,8F,
4489103522,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
4489111256,000001DB,false,Rx,1,8,FE,60,BA,0B,26,00,03,99,
4489111483,000001DC,false,Rx,1,8,6E,04,D4,ED,E8,C0,C3,B4,
4489112256,000001DA,false,Rx,1,8,B9,72,58,00,00,01,03,6B,
4489112425,00000120,false,Rx,1,4,00,00,0F,22,00,00,00,00,
4489112824,0000011A,false,Rx,1,8,4E,40,00,55,00,00,01,7D,
4489113056,000001D4,false,Rx,1,8,F7,07,00,00,47,44,30,B7,
4489113289,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,01,8F,
4489113517,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
